Group,Method,Model,Accuracy,Precision,Recall,F1
Group 1,Baseline,Logistic Regression,0.6087,0.6498,0.6087,0.5816
Group 1,Baseline,Random Forest,0.6087,0.6767,0.6087,0.556
Group 2,MV_impute,Logistic Regression,0.4167,0.4384,0.4167,0.4161
Group 2,MV_impute,Random Forest,0.65,0.6665,0.65,0.6543
Group 2,MV_drop,Logistic Regression,0.6087,0.6498,0.6087,0.5816
Group 2,MV_drop,Random Forest,0.6087,0.6767,0.6087,0.556
Group 3,OL_iqr_cap,Logistic Regression,0.4833,0.5212,0.4833,0.4837
Group 3,OL_iqr_cap,Random Forest,0.6167,0.6284,0.6167,0.6143
Group 3,OL_iqr_remove,Logistic Regression,0.5472,0.5252,0.5472,0.4872
Group 3,OL_iqr_remove,Random Forest,0.6981,0.7259,0.6981,0.6841
Group 3,OL_zscore,Logistic Regression,0.6,0.5451,0.6,0.5211
Group 3,OL_zscore,Random Forest,0.6545,0.6908,0.6545,0.6222
Group 4,Scale_none,Logistic Regression,0.4167,0.4384,0.4167,0.4161
Group 4,Scale_none,Random Forest,0.65,0.6665,0.65,0.6543
Group 4,Scale_standard,Logistic Regression,0.45,0.5264,0.45,0.4521
Group 4,Scale_standard,Random Forest,0.6667,0.6749,0.6667,0.6686
Group 4,Scale_minmax,Logistic Regression,0.3333,0.2703,0.3333,0.2975
Group 4,Scale_minmax,Random Forest,0.6667,0.6788,0.6667,0.6692
Group 5,FeatEng,Logistic Regression,0.6833,0.7087,0.6833,0.6778
Group 5,FeatEng,Random Forest,0.7333,0.7579,0.7333,0.7238
Group 6,FS_correlation,Logistic Regression,0.75,0.7533,0.75,0.743
Group 6,FS_correlation,Random Forest,0.7167,0.7254,0.7167,0.7051
Group 6,FS_chi2,Logistic Regression,0.5833,0.5823,0.5833,0.5407
Group 6,FS_chi2,Random Forest,0.6167,0.6422,0.6167,0.5861
Group 6,FS_mutual_info,Logistic Regression,0.6333,0.617,0.6333,0.5965
Group 6,FS_mutual_info,Random Forest,0.7,0.7095,0.7,0.6883
